############################################
num_requests: 1000
num_nodes: 5
window_size: 50
test_failure: False
n_reps: 6
############################################
************************************************
node: 0 , received_num: 201
node: 4 , num_installed: 0
node: 0 , num_committed: 0
node: 1 , num_committed: 0
node: 2 , num_committed: 0
node: 3 , num_committed: 0
node: 4 , num_committed: 0
************************************************
AVG cpu_times: 10.66341
AVG run_times: 12.59367
AVG throughput: 0.07379
FAILURES: 0
